,text_id,annotators_id,text,initial_paragraph,topic,is_noise_or_spam_text,related_to_election_2024,toxicity,polarized,profanity_obscenity,threat_incitement_to_violence,insults,identity_attack,sexually_explicit,agreement_is_noise_or_spam_text,agreement_related_to_election_2024,agreement_toxicity,agreement_polarized,agreement_profanity_obscenity,agreement_threat_incitement_to_violence,agreement_insults,agreement_identity_attack,agreement_sexually_explicit,cleaned_text
44,1-1038,"['10', '18', '32']",Klu bukan karena sarat Korupsi dan suap-suapan rezim Jokowi dengan Cina Mana mungkin terjadi,,Tionghoa,0,0,1,1,0,0,1,0,0,True,True,False,False,True,True,False,True,True,Klu bukan karena sarat Korupsi dan suap-suapan rezim Jokowi dengan Cina Mana mungkin terjadi
47,1-1040,"['10', '18']",KADRUN KATANYA ANTI CHINA MAKAN DIKASIH SAMA ORANG CHINA 😂😂😂,,Tionghoa,0,0,1,0,0,0,0,1,0,True,True,True,True,True,True,True,True,True,KADRUN KATANYA ANTI CHINA MAKAN DIKASIH SAMA ORANG CHINA 😂😂😂
48,1-1041,"['10', '18', '32']","PERANG HORIZONTAL DI DEPAN MATA. WASPADA... ‼️ WARGA cina sudah BERANI menguasai jalanan DGN MOBIL BER NOPOL negara CINA. ⁉️ Jika kamu tdk membela orang lain ketika hak mereka diinjak-injak, siapa yg akan membelamu ketika hakmu diinjak-injak⁉️ Lebih baik diasingkan daripada menyerah pada  #SALAM_AKAL_SEHAT💪 #SALAM_PERUBAHAN_PERBAIKAN utk #PERSATUAN_RI 😎✌💪",,Tionghoa,0,0,1,1,0,0,1,1,0,True,True,True,False,True,True,False,False,True,"PERANG HORIZONTAL DI DEPAN MATA. WASPADA... ‼️ WARGA cina sudah BERANI menguasai jalanan DGN MOBIL BER NOPOL negara CINA. ⁉️ Jika kamu tdk membela orang lain ketika hak mereka diinjak-injak, siapa yg akan membelamu ketika hakmu diinjak-injak⁉️ Lebih baik diasingkan daripada menyerah pada  #SALAM_AKAL_SEHAT💪 #SALAM_PERUBAHAN_PERBAIKAN utk #PERSATUAN_RI 😎✌💪"
49,1-1042,"['10', '18', '32']",benci cina tapi suka barang dari cina..😂😂😂 munafik.,,Tionghoa,0,0,1,1,0,0,1,1,0,True,True,True,False,True,True,False,False,True,benci cina tapi suka barang dari cina..😂😂😂 munafik.
53,1-1046,"['10', '18', '32']","Arab ikut berjuang lawan penjajah, PKI dan cina berkhianat",,Tionghoa,0,0,1,1,0,0,0,0,0,True,True,True,False,True,True,False,False,True,"Arab ikut berjuang lawan penjajah, PKI dan cina berkhianat"
55,1-1048,"['10', '18']","Bong, lu bela kang Ngibul matimatian ternyata otak lu aja gak diakui Dia lebih percaya otak cina 😂",,Tionghoa,0,0,1,0,0,0,0,0,0,True,True,True,False,True,True,True,False,True,"Bong, lu bela kang Ngibul matimatian ternyata otak lu aja gak diakui. Dia lebih percaya otak Cina 😂"
56,1-1049,"['10', '18', '32']","Kawal pemilu dari kecurangan, pemilu 2019 terdpt ribuan wna cina tk bisa berbahas indonesi tpi memilki ktp indonesi. Masih ingat dg berbondong"" wna cina masuk ke indo dg mudah jelang pilpres 2019.",,Tionghoa,0,0,1,1,0,0,0,0,0,True,False,True,False,True,True,True,False,True,"Kawal pemilu dari kecurangan, pemilu 2019 terdpt ribuan wna cina tk bisa berbahas indonesi tpi memilki ktp indonesi. Masih ingat dg berbondong"" wna cina masuk ke indo dg mudah jelang pilpres 2019."
59,1-1051,"['10', '18']",Satu ini memiting rakyatnya Satu lagi ingin membuldoser rakyatnya Inilah rezi biadab yang disanjung 80% rakyatnya. Mantap petugas cina,,Tionghoa,0,0,1,0,0,0,0,0,0,True,True,True,False,False,True,False,False,True,Satu ini memiting rakyatnya Satu lagi ingin membuldoser rakyatnya Inilah rezi biadab yang disanjung 80% rakyatnya. Mantap petugas cina
67,1-1059,"['10', '18', '32']","Kasus rempang,kasus Wadas,ketimpangan gaji tka cina dengan tenaga Tempatan dimorowali,hilangnya pupuk subsidi,mahalnya BBM, nepotisme kekuasaan,hutang negara yg makin menumpuk ,pajak yg tinggi serta obyek pajak yg menyasar sembako dibarengi harga yg semakin mahal ,kondisi keadilan hukum yg TDK baik baik aja dll,semua itu akibat kebijakan direzim ini,maka kondisi seperti sangat diperlukan PRESIDEN PERUBAHAN dan itu hanya dimiliki Bapak Anies Baswedan ,maka itu ayo pilih presiden perubahan",,Tionghoa,0,1,1,1,0,0,0,0,0,True,True,False,True,True,True,True,True,True,"Kasus rempang,kasus Wadas,ketimpangan gaji tka cina dengan tenaga Tempatan dimorowali,hilangnya pupuk subsidi,mahalnya BBM, nepotisme kekuasaan,hutang negara yg makin menumpuk ,pajak yg tinggi serta obyek pajak yg menyasar sembako dibarengi harga yg semakin mahal ,kondisi keadilan hukum yg TDK baik baik aja dll,semua itu akibat kebijakan direzim ini,maka kondisi seperti sangat diperlukan PRESIDEN PERUBAHAN dan itu hanya dimiliki Bapak Anies Baswedan ,maka itu ayo pilih presiden perubahan"
70,1-1061,"['10', '18']",Waspada beras dari china komonis,,Tionghoa,0,0,1,0,0,0,0,1,0,True,True,True,True,True,True,True,True,True,Waspada beras dari China komunis
72,1-1063,"['10', '18', '32']","Kang Ngibul menggelapkan nikel sampai 5,3 juta ton ke cina",,Tionghoa,0,0,1,0,1,0,0,0,0,True,True,False,False,False,True,True,True,True,"Kang Ngibul menggelapkan nikel sampai 5,3 juta ton ke cina"
73,1-1064,"['10', '18']",KALAU TDK MAU JADI BUDAK CINA TDK ADA CARA LAIN AMIN HRS MENANG,,Tionghoa,0,1,1,0,0,0,0,1,0,True,True,True,False,True,True,False,True,True,KALAU TDK MAU JADI BUDAK CINA TDK ADA CARA LAIN AMIN HRS MENANG
74,1-1065,"['10', '18', '32']","PASTIKAN ANAK, SAUDARA, TEMAN, KELUARGA BESAR KITA FOKUS PD PERUBAHAN BERJUANG UTK PERUBAHAN ATAU REZIM BUSUK INI AKAN MELANJUTKAN MENGUSUR KITA RAKYAT PRIBUMI PEMILIK NEGERI INI DARI BUMI PERTIWI...JGN BIARKAN REZIM ANTEK OLIGARKI INI MELANJUTKAN KEKEJAMAN DAN KEBIADABANNYA PD RYTNYA ...MENGUSIR RYTNYA SENDIRI DEMI INVESTOR CHINA",,Tionghoa,0,0,1,1,1,0,1,0,0,True,False,True,False,False,True,False,False,True,"PASTIKAN ANAK, SAUDARA, TEMAN, KELUARGA BESAR KITA FOKUS PD PERUBAHAN BERJUANG UTK PERUBAHAN ATAU REZIM BUSUK INI AKAN MELANJUTKAN MENGUSUR KITA RAKYAT PRIBUMI PEMILIK NEGERI INI DARI BUMI PERTIWI...JGN BIARKAN REZIM ANTEK OLIGARKI INI MELANJUTKAN KEKEJAMAN DAN KEBIADABANNYA PD RYTNYA ...MENGUSIR RYTNYA SENDIRI DEMI INVESTOR CHINA"
81,1-1071,"['10', '18', '32']","Kenapa Komunis adalah mutlak sbg MUSUH PANCASILA? Karena faham komunisme bertolak belakang dgn Sila pertama, Ketuhanan Yang Maha Esa. Dikutip dari CNN Indonesia: Partai Komunis China (PKC) merupakan partai berkuasa Negeri Tirai Bambu. PKC secara resmi merupakan penganut ateis atau sebutan bagi orang yang tak percaya dengan keberadaan Tuhan. PKC juga mengimbau anggota partai dan keluarga mereka agar tak berpartisipasi secara publik dalam acara keagamaan. Pada 2017, media resmi PKC mewanti-wanti anggota mereka untuk tak percaya pada agama, menyebutkan sebagai ""anestesi spiritual."" Sumber:",,Tionghoa,0,0,1,0,0,0,0,0,0,True,True,False,True,True,True,True,True,True,"Kenapa Komunis adalah mutlak sbg MUSUH PANCASILA? Karena faham komunisme bertolak belakang dgn Sila pertama, Ketuhanan Yang Maha Esa. Dikutip dari CNN Indonesia: Partai Komunis China (PKC) merupakan partai berkuasa Negeri Tirai Bambu. PKC secara resmi merupakan penganut ateis atau sebutan bagi orang yang tak percaya dengan keberadaan Tuhan. PKC juga mengimbau anggota partai dan keluarga mereka agar tak berpartisipasi secara publik dalam acara keagamaan. Pada 2017, media resmi PKC mewanti-wanti anggota mereka untuk tak percaya pada agama, menyebutkan sebagai ""anestesi spiritual."" Sumber:"
86,1-1076,"['10', '18', '32']",Disini kadrun teriak antek China Disana China jadi investor terbesar Disana sdh bisa memisahkan bisnis dg agama Disini masih banyak orang mabuk agama Itulah bahaya latennya jadi Kadrun 😂😛😂😄🤣,,Tionghoa,0,0,1,1,0,0,0,1,0,True,False,False,True,True,True,True,False,True,Disini kadrun teriak antek China Disana China jadi investor terbesar Disana sdh bisa memisahkan bisnis dg agama Disini masih banyak orang mabuk agama Itulah bahaya latennya jadi Kadrun 😂😛😂😄🤣
98,1-1087,"['10', '18', '32']","Coba bisikin ke Anis biar China pada d usir dr NKRI dan stop infor barang"" dari China ,biar masyarakat NKRI merasa hidup nyaman, tentram dan sejahtera.",,Tionghoa,0,1,1,1,0,0,0,1,0,True,True,True,False,True,True,True,True,True,"Coba bisikkan ke Anis biar China pada dusir dari NKRI dan hentikan informasi barang dari China, biar masyarakat NKRI merasa hidup nyaman, tenang, dan sejahtera."
110,1-1098,"['10', '18', '32']","Ada tetangga membantu kita minjamin duit, ikut bekerja tapi maLah disia siakan ituLah china Ada tetangga ngk minjamin duit maLah ikut nyapres",,Tionghoa,0,0,1,0,0,0,0,1,0,False,False,False,False,True,True,True,False,True,"Ada tetangga membantu kita minjamin duit, ikut bekerja tapi maLah disia siakan ituLah china Ada tetangga ngk minjamin duit maLah ikut nyapres"
115,1-1101,"['10', '18', '32']",KADRUN ANTI CHINA KARENA KADRUN ANTEK YAHUDI,,"Tionghoa, Jewish",0,0,1,1,0,0,1,1,0,True,True,True,False,True,True,False,False,True,KADRUN ANTI CHINA KARENA KADRUN ANTEK YAHUDI
118,1-1104,"['10', '18', '32']",KADRUN TIDAK JUALAN PKI ANTEK CINA KAYAK NYA SEPI BANGET KALO KADRUN TIDAK JUALAN GORENGAN PKI SOAL NYA PKI NYA ASLI NYA GROMBOLAN KADRUN ITU SENDIRI PKI NYA BERASAL DARI YAMAN MASI ADA SAMPE SEKARANG,,Tionghoa,0,0,1,1,0,0,1,1,0,True,True,True,False,True,True,False,False,True,KADRUN TIDAK JUALAN PKI ANTEK CINA KAYAK NYA SEPI BANGET KALO KADRUN TIDAK JUALAN GORENGAN PKI SOAL NYA PKI NYA ASLI NYA GROMBOLAN KADRUN ITU SENDIRI PKI NYA BERASAL DARI YAMAN MASI ADA SAMPE SEKARANG
123,1-1109,"['10', '18']",Yg masih memuja Jokowi fix jongos Cina,,Tionghoa,0,0,1,0,0,0,0,0,0,True,True,True,False,True,True,False,True,True,Yg masih memuja Jokowi fix jongos Cina
126,1-1111,"['10', '18', '32']",Cina menggunakan aparat negara menjadi tukang pukul untuk mengusir rakyat Melayu dari tanah kelahiran nya,,Tionghoa,0,0,1,1,0,0,0,1,0,True,True,False,False,True,True,True,False,True,Cina menggunakan aparat negara menjadi tukang pukul untuk mengusir rakyat Melayu dari tanah kelahiran nya
128,1-1113,"['10', '18', '32']","Orang kayak gini mau nyaLon presiden⁉️ warga masyarakatnya sendiri aja di siksa pa Lagi warga masyarakat yang Lain_??? _ Wis udh gak jelas, partainya preman semrawut membela cina 😇😇😇_ Pribumi di singkirkan.. 🥲 Perubahan harus disegerakan..‼️ #Suara_Anda_Menentukan_Nasib_Bangsa‼️ #SALAM_AKAL_SEHAT💪",,Tionghoa,0,1,1,0,0,0,1,0,0,True,True,False,True,True,True,False,False,True,"Orang kayak gini mau nyaLon presiden⁉️ warga masyarakatnya sendiri aja di siksa pa Lagi warga masyarakat yang Lain_??? _ Wis udh gak jelas, partainya preman semrawut membela cina 😇😇😇_ Pribumi di singkirkan.. 🥲 Perubahan harus disegerakan..‼️ #Suara_Anda_Menentukan_Nasib_Bangsa‼️ #SALAM_AKAL_SEHAT💪"
131,1-1116,"['10', '18', '32']","PEMILU 2024 ANIES VS MEGAWATI, JOKOWI, LUHUT, PRABOWO, ERLANGGA ,CUKONG CINA",,Tionghoa,0,0,1,1,0,0,1,0,0,False,False,False,False,True,True,False,True,True,"PEMILU 2024 ANIES VS MEGAWATI, JOKOWI, LUHUT, PRABOWO, ERLANGGA ,CUKONG CINA"
140,1-1124,"['10', '18']","PEMIMPIN NEGARA ITU CERMIN DARI MANA DIA BERASAL, PEMIMPIN ARAB ASAL ASLI ORG ARAB, PEMIMPIN CINA ASAL ASLI PRIBUMI CINA, PEMIMPIN RUSIA ASAL ASLI PRIBUMI RUSIA, MASA NEGARA BESAR SEKELAS INDONESIA PEMIMPINYA MUKA IMIGRAN🤣",,"Tionghoa, Rohingya",0,0,1,0,0,0,0,0,0,True,False,True,False,True,True,False,False,True,"PEMIMPIN NEGARA ITU CERMIN DARI MANA DIA BERASAL, PEMIMPIN ARAB ASAL ASLI ORG ARAB, PEMIMPIN CINA ASAL ASLI PRIBUMI CINA, PEMIMPIN RUSIA ASAL ASLI PRIBUMI RUSIA, MASA NEGARA BESAR SEKELAS INDONESIA PEMIMPINYA MUKA IMIGRAN🤣"
141,1-1125,"['10', '18']","gini drun prestasi yg baik dan berguna untuk masyarakat.. bukan tugu sepatu, yg mempromosikan dagangan orang china dijakarta",,Tionghoa,0,0,1,1,0,0,0,0,0,True,False,True,True,True,True,True,False,True,"gini drun prestasi yg baik dan berguna untuk masyarakat.. bukan tugu sepatu, yg mempromosikan dagangan orang china dijakarta"
144,1-1128,"['10', '18']",Pribumi jadi budak cina Saham dimna2,,Tionghoa,0,0,1,1,0,0,0,0,0,True,False,True,True,True,True,True,False,True,Pribumi jadi budak cina Saham dimna2
357,1-132,"['7', '15']",Cuma Orang Bodoh TOLOL O On Goblok Bego Yang Pilih Anies B Seperti Kehabisan Orang Pribumi,,UNKNOWN,0,1,1,0,0,0,1,0,0,True,True,True,False,False,True,True,True,True,"Cuma orang bodoh TOLOL ON goblok bego yang pilih Anies, seperti kehabisan orang pribumi."
420,1-138,"['7', '15', '32']","KADRUN PADA MENCRET BERAK DICELANA LIHAT PRESTASI GANJAR, SLAMA INI KADRUN BUTA DAN TULI TIDAK TAU PRIHAL JATENG HANYA DENGER HOAX🤣🤣",,Disabilitas,0,1,1,1,0,0,1,0,0,True,True,False,False,True,True,False,True,True,"KADRUN PADA MENCRET BERAK DICELANA LIHAT PRESTASI GANJAR, SLAMA INI KADRUN BUTA DAN TULI TIDAK TAU PRIHAL JATENG HANYA DENGER HOAX🤣🤣"
421,1-1380,"['10', '18', '32']",Hasil Sepakbola Putra Asian Games 2023 Hari ini - Indonesia VS CHINA TAI... @YouTube,,Tionghoa,0,0,1,0,1,0,0,1,0,True,True,False,True,False,True,True,False,True,Hasil Sepakbola Putra Asian Games 2023 Hari ini - Indonesia VS CHINA TAI... @YouTube
461,1-1422,"['10', '18', '32']",China dikasih karpet merah terus. Saudara sebangsanya malah diinjak2. Zolimnya luar binasa,,Tionghoa,0,0,1,1,0,0,0,0,0,True,True,False,False,False,True,True,True,True,China dikasih karpet merah terus. Saudara sebangsanya malah diinjak2. Zolimnya luar binasa
496,1-145,"['7', '15', '32']",khusus buat keturunan yaman gak boleh dibilang gila & stress. tapi wajib di panggil WALI ALLOH dan wajib di agungkan. drunnn.. mana akal sehatmu !,,Disabilitas,0,0,1,0,0,0,1,0,0,True,False,False,True,True,True,False,True,True,khusus buat keturunan yaman gak boleh dibilang gila & stress. tapi wajib di panggil WALI ALLOH dan wajib di agungkan. drunnn.. mana akal sehatmu !
512,1-1476,"['10', '18', '32']",Politisi di US banyak yang di endorse sama kalangan Yahudi. Ya mirip kayak politisi dan aparat kita yang banyak disponsorin sama chindo lah.,,"Tionghoa, Jewish",0,0,1,1,0,0,1,0,0,True,True,False,False,True,True,False,True,True,Politisi di US banyak yang di endorse sama kalangan Yahudi. Ya mirip kayak politisi dan aparat kita yang banyak disponsorin sama chindo lah.
516,1-1463,"['10', '18']",Kalo buatan cina udah overheat kali y,,Tionghoa,0,0,1,0,0,0,1,0,0,True,True,True,True,True,True,True,True,True,"Kalau buatan Cina sudah overheat, kali ya"
573,1-1514,"['10', '18']",Gambar Kaesang Memakai Kaos Berlogo Palu Arit,"Ternyata anake jokowi sdh berani pake kaos palu arit simbol PKI,
sdh jelas anak turun Komunis,

Tenggelamkan..!!",UNKNOWN,0,0,1,1,0,0,0,0,0,True,False,True,True,True,True,False,True,True,Gambar Kaesang memakai kaos berlogo Palu Arti.
696,1-1657,"['10', '18', '32']","Yg takut Anis Baswedan Muhaimin jadi presiden Yg pertama PKI tolol ga tau diri Kedua tukang maling duit negara Ketiga tukang korupsi Ke empat bazer otak somplal Kelima pendukung yahudi pesek Ke enam anjing anjing piara an kaum munafikun hasud iridengki """" #anismuhaiminmenag #anisprediden #pkitamat",,Jewish,0,1,1,1,1,0,1,0,0,True,True,True,True,False,True,True,True,True,"Yg takut Anis Baswedan Muhaimin jadi presiden Yg pertama PKI tolol ga tau diri Kedua tukang maling duit negara Ketiga tukang korupsi Ke empat bazer otak somplal Kelima pendukung yahudi pesek Ke enam anjing anjing piara an kaum munafikun hasud iridengki """" #anismuhaiminmenag #anisprediden #pkitamat"
699,1-1628,"['10', '18']",Kasihan tuh  terus sama  selalu bilang Anis itu cerdas!.padahal itu bohong  sendiri merasa dirinya bodoh tolol.,,UNKNOWN,0,1,1,1,0,0,0,0,0,True,True,True,True,False,True,False,True,True,Kasihan tuh  terus sama  selalu bilang Anis itu cerdas!.padahal itu bohong  sendiri merasa dirinya bodoh tolol.
729,1-1655,"['10', '18']",Mumpung Gaza sedang  Para panitia surga sdg memanfaat kan moment Perang Hamas dan Israel. Ya elah drun kadrun. Mau makan enak dan hidup layak kerja woi. Bukan ngemis donasi dg mengatasnamakan Palestina.,,Jewish,0,0,1,0,0,0,1,0,0,True,False,True,False,True,True,True,True,True,Mumpung Gaza sedang  Para panitia surga sdg memanfaat kan moment Perang Hamas dan Israel. Ya elah drun kadrun. Mau makan enak dan hidup layak kerja woi. Bukan ngemis donasi dg mengatasnamakan Palestina.
747,1-1676,"['10', '18', '32']","PARA PENDUKUNG ANIS 100% ORANG2 IDIOT/ MABUK AGAMA, COBA AJA SIMAK DARI MULAI POSTINGAN SAMPE OMONGAN NYA MIRIF ORANG DI HIPNOTIS",,Disabilitas,0,1,1,0,1,0,1,0,0,True,True,True,False,False,True,False,True,True,"PARA PENDUKUNG ANIS 100% orang-orang idiot/mabuk agama, coba saja simak dari mulai postingan sampai omongan nya mirip orang di hipnotis"
